(No modificar) Número de OT;(No modificar) Suma de comprobación de fila;(No modificar) Fecha de modificación;Número de orden de trabajo;Fecha de creación;Hora Final SLA;Tipo de incidente principal;VIP (Caso) (Caso);SLA;Walver (Caso) (Caso);Terminal;Denominación;Calle 1;Ciudad;Código postal;Domicilio de la terminal;Estado o provincia;Latitud;Longitud;Modelo del terminal;Zona de servicio
c648126b-f00b-ee11-8f6e-0022483839d8;+vvRxw/z2vtXJjpD63Cw6A+kwntwVGyQkQ6t7KE0b2NfgqPXhbwd1HLPZYqGV6t76Ur0G72gM3kctNqfbuhdDw==;16/06/2023 2:49;OT-LAP2117843;15/06/2023 23:49;;Recupero por inactividad;No;Lapos OT - Masivo Urbano v2;No;47045884;Ricko Tienda de Alimentos;MATE DE LUNA  726;CATAMARCA;4700;MATE DE LUNA  726;CATAMARCA;-28,47326;-65,77631;;Urbano
76d11c5f-f00b-ee11-8f6e-0022483839d8;UDfxXJbc58hMwg9V2AGdvJcaLNtoIkOj+QFwyNLJrYax7aczIvJWaEbzIS9HW05ZqqFk1bigPmJgL6RAUBurMg==;16/06/2023 2:49;OT-LAP2117841;15/06/2023 23:49;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;47044768;GRIDO;LAS PIEDRAS 302;SAN MIGUEL DE TUCUMAN;4000;LAS PIEDRAS 302;TUCUMAN;-26,83564;-65,20288;VE_390_PP101_P250;Ciudad
74772459-f00b-ee11-8f6e-0022483839d8;P1u5MICOmnVwYNtL2FQAqElqqnoqrvlCE/DaoUZyNYeYJd9mR29cM4RR0ypIifN16m4OlOTSPjTGPavL32uHHg==;16/06/2023 2:49;OT-LAP2117840;15/06/2023 23:49;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;47044614;GRIDO;9 de julio 71;SAN MIGUEL DE TUCUMAN;4000;9 de julio 71;TUCUMAN;;;VE_390_PP101_P250;Ciudad
11182c53-f00b-ee11-8f6e-0022483839d8;eJejiDyO/h/XF/KFa2VdksE7ZjtJgbkLKyMRxW/fnFSJLojsLjZRRSWgPFQgv2EwzZAlIp812GZSdqJjglhTEQ==;17/06/2023 13:33;OT-LAP2117839;15/06/2023 23:48;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;47044053;SAFARI KIDS Jardin Maternal;SAN LUIS 990;SALTA;4400;SAN LUIS 990;SALTA;-24,79685;-65,41698;VE_390_PP101_P250;Ciudad
2aed1c20-f00b-ee11-8f6e-0022483839d8;Nkf5i+W1WCaej0IeUlFNVkn2S0vdn6OugqNj1NOqc9jA+RcE4eav499Jpcsfj6ggx9v2Sz3xT1v3qLYpFP1R+w==;16/06/2023 2:47;OT-LAP2117833;15/06/2023 23:47;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;47042813;CARNICERIA BENAVIDEZ;Av Autodromo 107;SALTA;4400;Av Autodromo 107;SALTA;;;VE_390_PP101_P250;Ciudad
b8007d01-f00b-ee11-8f6e-0022483839d8;T9hlGzBWpuOO1GSceO00tSPut1JAwAZ3QSTd9KHqgGxQBpwY7Rp8WIs3TDHodza7DabCkkZDh9LnCV3FJxHmpw==;16/06/2023 2:46;OT-LAP2117829;15/06/2023 23:46;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;47040499;DRUGSTOREVIRGENDVALLE;AVENIDA COLON 3084 Entre PASAJES S/N y   PEREZ PALAVECINO;SAN MIGUEL DE TUCUMAN;4000;AVENIDA COLON 3084 Entre PASAJES S/N y   PEREZ PALAVECINO;TUCUMAN;;;VE_390_PP101_P250;Ciudad
7aa778fb-ef0b-ee11-8f6e-0022483839d8;bSArSDrZZjgu/LwtAOkoGpWMl2U/eXPiXSBxaSZ0I//ZOsDUeSne28/L8LQUZghbmEKPPVzw0uk7Le3E1YYjJA==;16/06/2023 2:46;OT-LAP2117828;15/06/2023 23:46;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;47039502;YO HELADERIAS;AV CARLOS S MENEM;LA RIOJA;5300;AV CARLOS S MENEM;LA RIOJA;;;VE_390_PP101_P250;Ciudad
650147f5-ef0b-ee11-8f6e-0022483839d8;SStbqcjDMHaozhp63JJYwBrZo10gUef0HRvog5FCG9D+xwpJ0oT8nuyOAVE/6wG9zW1zeozhTHYbgoAP63PI9g==;16/06/2023 2:46;OT-LAP2117827;15/06/2023 23:46;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;47039501;YO HELADERIAS;AVDA LEANDRO NICEFORO ALEM 106;LA RIOJA;5300;AVDA LEANDRO NICEFORO ALEM 106;LA RIOJA;;;VE_390_PP101_P250;Ciudad
39e72aef-ef0b-ee11-8f6e-0022483839d8;yZ6dSBCOwmmJmAlpYH4kJVEtWwAx+tsBhLXYu/A2QoRD4Tf/FLPUnZKNeR2hanRY1FHw8zmFzSPPshVM6eieLw==;17/06/2023 12:42;OT-LAP2117826;15/06/2023 23:46;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;47038724;PICON;AVDA PROVINCIA DE SALTA 87;SAN MIGUEL DE TUCUMAN;4000;AVDA PROVINCIA DE SALTA 87;TUCUMAN;-26,82881;-65,21057;VE_390_PP101_P250;Ciudad
071ceb9a-ef0b-ee11-8f6e-0022483839d8;B6LM+q5TvnNpF8AExOuMr7TR5hIZBEZ/5wworQoFu4GvkG3RHYKaRE4yQdCfEiWoDTKTqMziu5uU5HzaGAONDQ==;17/06/2023 12:42;OT-LAP2117814;15/06/2023 23:43;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;47031446;LINEA PROFESIONAL DE U;IDELFONSO DE LAS MUÃ‘ECAS 375;SAN MIGUEL DE TUCUMAN;4000;IDELFONSO DE LAS MUÃ‘ECAS 375;TUCUMAN;;;VE_390_PP101_P250;Ciudad
16552362-ee0b-ee11-8f6e-0022483839d8;kD091l15Mu5mgN7XbOo6MfBrDvHXpxLDdLVe1xuFjLndj4EOF+xunf1wmD6hi+CAHk0Czfr83ntPM0FliMdENw==;16/06/2023 2:35;OT-LAP2117767;15/06/2023 23:35;;Recupero por inactividad;No;Lapos OT - Masivo Urbano v2;No;34271676;CONEFA ENCOMIENDAS Y VIAJES A;bosque del ceibal 2 lote 1674  0;PERICO DE SAN ANTONIO;4605;bosque del ceibal 2 lote 1674  0;JUJUY;;;PAX_S920;Ciudad
c27cafa7-ed0b-ee11-8f6e-0022483839d8;Jvbz8JOpxflftlPHyvaKx9GuZG8McxWDT9D5DNij1igJ6SNf9mPZ1IO/xxuuRtjHz6xnhBtNYdsvuHovovssdQ==;16/06/2023 2:30;OT-LAP2117718;15/06/2023 23:29;;Recupero por inactividad;No;Lapos OT - Masivo Rural v2;No;34254250;CARNICERIA Y POLLERIA LOS HERM;GORRITI 256;GENERAL G_EMES;4430;GORRITI 256;SALTA;-24,67669;-65,04657;PAX_S920;Rural
d134bc9b-ed0b-ee11-8f6e-0022483839d8;/7+4dvkMBbMfAJE3TE/aMGSRDTOLXiJhhiaY3VxgoZeApqcfYWixFHjxglcxtU1tJPxNFu3+fVgudEPS8mda9w==;16/06/2023 2:29;OT-LAP2117714;15/06/2023 23:29;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34253054;La Cocina de Omar;DR JOAQUIN VICTOR GONZALEZ 602;LA RIOJA;5300;DR JOAQUIN VICTOR GONZALEZ 602;LA RIOJA;-29,40513;-66,85630;PAX_S920;Ciudad
650ab765-ed0b-ee11-8f6e-0022483839d8;4+9Xs0ZHpjUZU5sZF1ASbZkMRWvSxH8UGNOGxrXoRqs+EGbZzmtioa18zr9HKl1eJ9ykbRPfYkKwgQxAUdIayg==;16/06/2023 2:28;OT-LAP2117698;15/06/2023 23:28;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34251716;ELECTRO MADERA;DIAMANTE B LOS CEYPOS 211;LA RIOJA;5300;DIAMANTE B LOS CEYPOS 211;LA RIOJA;;;PAX_S920;Ciudad
db99e105-ed0b-ee11-8f6e-0022483839d8;sehzM768Ck9l5HrpdPZ6TRm1EdZW4AXOY98hHNQhmPJYHOktRBBXWuwQSWqPxBlzUnkvBR2Uo4/9mVjyqcVclA==;16/06/2023 2:25;OT-LAP2117674;15/06/2023 23:25;;Recupero por inactividad;No;Lapos OT - Masivo Urbano v2;No;34248692;PINTURERIA-FERRETERIA CASTRO;Rivadavia 399 esq Fra;SANTA MARIA;4146;Rivadavia 399 esq Fra;TUCUMAN;;;;Urbano
56b9cfdb-ec0b-ee11-8f6e-0022483837ce;2ldIiTR8JxFNFh+OvYl9QQbphtO733jZ9guY+/j2EpkADaFaasZDHcMWDo9dWkZCZZ9rQhD6Sf42GiR1Pb0MCg==;16/06/2023 18:22;OT-LAP2117662;15/06/2023 23:24;30/06/2023 11:00;Baja terminal;No;Lapos OT - Masivo Urbano v2;No;16059606;ESTUDIO ADELA;AV PTE PERON  1750 01;YERBA BUENA (DPTO. TAFI);4107;AV PTE PERON  1750 01;TUCUMAN;;;N910;Urbano
0ddfcecf-ec0b-ee11-8f6e-0022483839d8;ELJAZRNOO3tlDoH4JU902qOTWtmlv0fm6cem9N6gXxd37jWOEJoo/AN5aCMT85Hgz+grgmJwtfDMJGxGazklpg==;16/06/2023 2:24;OT-LAP2117659;15/06/2023 23:23;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34245752;infomovil;COMBATE DE SAN LORENZO 1190;SAN MIGUEL DE TUCUMAN;4000;COMBATE DE SAN LORENZO 1190;TUCUMAN;;;PAX_S920;Ciudad
87f0ed27-ec0b-ee11-8f6e-0022483837ce;ocY4psiUAcj4F8cgEvygSugoOn1ks+jtROJdKhnMEpd3Jry4qjyt1vNLKxp6PpuHmymo+F3cfIKUGRbtQSTS/g==;16/06/2023 2:19;OT-LAP2117617;15/06/2023 23:19;30/06/2023 11:00;Baja terminal;No;Lapos OT - Masivo Ciudad v2;No;16030479;CARNICERIA SOSA H;PERU 4200;SAN MIGUEL DE TUCUMAN;4000;PERU 4200;TUCUMAN;;;;Ciudad
ee64db21-ec0b-ee11-8f6e-0022483837ce;YktkK+pHZayEE23txeUNEBAmxwXmLqxJDGOci7NutcWrzFWmHTDA4dcC/4teHYdyNhGB4VxN4Zbj4ozgu8g94Q==;16/06/2023 2:19;OT-LAP2117616;15/06/2023 23:18;30/06/2023 11:00;Baja terminal;No;Lapos OT - Masivo Ciudad v2;No;16030478;CARNICERIA SOSA H;PERU 4200;SAN MIGUEL DE TUCUMAN;4000;PERU 4200;TUCUMAN;;;;Ciudad
52d97d29-eb0b-ee11-8f6e-0022483839d8;NBLiO6qENWC9rUKEY8o6na075WoIcJuYZdWVtrHZq++xjFfKp4kKi3pU8VnI1hC1XMs/mBbpWqw0x98SXn2pxg==;16/06/2023 2:12;OT-LAP2117574;15/06/2023 23:12;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34229320;MIGUEL FERNANDO ROMANO JORGE;LAS HERAS 791;SAN SALVADOR DE JUJUY;4600;LAS HERAS 791;JUJUY;-24,19792;-65,28844;PAX_S920;Ciudad
1fccfa0a-eb0b-ee11-8f6e-0022483839d8;iuOP+fLkFKz4uRVS/0jJH+ZSv29XJkuuPzm9pBpiXdHB0KcXg+M3fTZCwPE073wRCvQ0MnPegIdPCtmA9yOadg==;16/06/2023 2:11;OT-LAP2117569;15/06/2023 23:11;;Recupero por inactividad;No;Lapos OT - Masivo Urbano v2;No;34227176;RUBIK;RUTA 64 ESTACION SERVICIO VIRG 0;LOS ALTOS;4723;RUTA 64 ESTACION SERVICIO VIRG 0;CATAMARCA;-40,82637;-62,99527;PAX_S920;Urbano
a203b3af-ea0b-ee11-8f6e-0022483839d8;FLjR0ihdk1+O59RXstp2yqj5ByVBU2lDZuGi0PpGSGaMYmcIq0CBV3gn7HCqUGBG3yndLHQYv6u6zOoLwJv9oQ==;16/06/2023 2:08;OT-LAP2117556;15/06/2023 23:08;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34223318;PAN COMIDO;PJE LUIS SAENZ PENA 3596 0;SAN MIGUEL DE TUCUMAN;4000;PJE LUIS SAENZ PENA 3596 0;TUCUMAN;;;PAX_S920;Ciudad
b4258e6d-ea0b-ee11-8f6e-0022483839d8;PA3FWOvYZfeG5BX3msak82MgNMwgtowwf7SAGC3a0ex4gtX7dLrwlBCmIhDqb+Ii/vgASR+XzvQ7uXCuVEpeaQ==;16/06/2023 2:07;OT-LAP2117547;15/06/2023 23:06;;Recupero por inactividad;No;Lapos OT - Masivo Extra Rural v2;No;34221632;DESPENSA MARY;RUTA PROVINCIAL 13 - KM 106  - 0;LA UNION (DPTO. RIVADAVIA);4535;RUTA PROVINCIAL 13 - KM 106  - 0;SALTA;;;PAX_S920;Extra Rural
366e731c-e90b-ee11-8f6e-0022483839d8;lmwK/cVuo23npnmaSmwQ9P7bTTHQrNJEEmGQWPCyQgGFievwQq8/TlnCcyvGqUYewzlkxQx7J9fozDeWfYG5fw==;16/06/2023 1:57;OT-LAP2117497;15/06/2023 22:57;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34208478;BENNIES;PERSEVERANCIA ENTRE LA FE Y LA 339;SAN SALVADOR DE JUJUY;4600;PERSEVERANCIA ENTRE LA FE Y LA 339;JUJUY;-24,17007;-65,30533;PAX_S920;Ciudad
021a7210-e90b-ee11-8f6e-0022483839d8;b7aEWz362BVOQFR51K10IgQ0CmNQVFT/19RYkZ5bAkpBqjwsytxKSVIJSB9sFCJsaJVNag6JfjxXU6oDRuTOTg==;16/06/2023 1:57;OT-LAP2117495;15/06/2023 22:57;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34208116;KEILA;24 DE SEPTIEMBRE 141;SAN MIGUEL DE TUCUMAN;4000;24 DE SEPTIEMBRE 141;TUCUMAN;-26,83197;-65,19936;VE_390_PP101_P250;Ciudad
1c3a83fe-e80b-ee11-8f6e-0022483839d8;/AkohratUj0eOsybGy6IzwF3dYJ0fwGXQGwXiExYvFUJSD9bbg4pknIEwabv+/wqbYgEyZxwFJgOhjqqkiCe6Q==;16/06/2023 1:57;OT-LAP2117492;15/06/2023 22:56;;Recupero por inactividad;No;Lapos OT - Masivo Extra Rural v2;No;34207942;MINIMERCADO VIRGEN DEL ROSARIO;LA TABLADA 0;CIENEGUILLAS;4633;LA TABLADA 0;JUJUY;;;PAX_S920;Extra Rural
0983efdf-e80b-ee11-8f6e-0022483839d8;LwbggOGcqMAOx8zXkfLtmSIDQGpW7trBaI+B5+sYfnJxto5oGi04mCzzSOtRKhDecSzI64MZYWALzHyYDTTe3w==;16/06/2023 1:55;OT-LAP2117487;15/06/2023 22:55;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34206783;SANGUINO MATIAS RAMON;AVDA DR JUAN BAUTISTA JUSTO 1875;SAN MIGUEL DE TUCUMAN;4000;AVDA DR JUAN BAUTISTA JUSTO 1875;TUCUMAN;-26,80689;-65,19088;VE_390_PP101_P250;Ciudad
d3b8c285-e80b-ee11-8f6e-0022483839d8;CztTh2tgjLEWqgk3GQwfxvBLg+77bd469lM/SMHeHA43ozJcY/6u8r2dRJ+qLppK/SrvW2ckBTNW3f+ziogt8w==;16/06/2023 1:53;OT-LAP2117472;15/06/2023 22:53;;Recupero por inactividad;No;Lapos OT - Masivo Extra Rural v2;No;34200939;GOMERIA LUBRICENTRO Y LAVADERO;DIEGO DE ALMAGRO 0;FIAMBALA;5345;DIEGO DE ALMAGRO 0;CATAMARCA;;;VE_390_PP101_P250;Extra Rural
4249c37f-e80b-ee11-8f6e-0022483839d8;ozbVjgT/JYduHuQvQCAalQcM6F6iDJfski46ULVGXo3eoPLTfIuFQaROtaGQBNVhS/lKgOj1L4bPCV4Psa7+TQ==;16/06/2023 1:53;OT-LAP2117471;15/06/2023 22:52;;Recupero por inactividad;No;Lapos OT - Masivo Extra Rural v2;No;34199575;RAMOS GENERALES;PARAJE LA SALA;SECLANTA ADENTRO;4419;PARAJE LA SALA;SALTA;;;VE_390_PP101_P250;Extra Rural
dfd5af3c-e80b-ee11-8f6e-0022483839d8;Loz4puB6TUDZkX7DRoorz8JugnBjMCRealw1IA61VAXIDkk4VeyilasS5oS1nH46bAIgZbzLL62V4KBFC2eNkw==;16/06/2023 1:51;OT-LAP2117459;15/06/2023 22:51;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34195987;PLOMAX SRL;PARROCO MARSHKE 854 0;SAN SALVADOR DE JUJUY;4600;PARROCO MARSHKE 854 0;JUJUY;;;VE_390_PP101_P250;Ciudad
ce0fb830-e80b-ee11-8f6e-0022483839d8;QvrNp4d9zaB1mh8XwRy5rgyIz8nMCGYnkLUgVxaGfkSJY6NER1PstigSKRwo87nog/iuv3WuhrRcfnu8ZD2wIQ==;16/06/2023 1:50;OT-LAP2117457;15/06/2023 22:50;;Recupero por inactividad;No;Lapos OT - Masivo Rural v2;No;34195709;AVILA CARLOS ESTEBAN;PRES BERNARDINO RIVADAVIA 1988;AGUILARES;4152;PRES BERNARDINO RIVADAVIA 1988;TUCUMAN;;;VE_390_PP101_P250;Rural
c8f3de06-e80b-ee11-8f6e-0022483839d8;l8KV4Qm/49JIVTbr2Yd1jf1qO6vD5vUzfupfrKVQdOyvdFg0EHegYisoRfP177m0onW3AlLaE6w5QhPHT//67A==;16/06/2023 1:49;OT-LAP2117450;15/06/2023 22:49;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34192522;ABARZA FERNANDO N;BELGRANO 592;JUJUY;4600;BELGRANO 592;JUJUY;-24,18528;-65,30041;VE_390_PP101_P250;Ciudad
b35ca71b-e70b-ee11-8f6e-0022483839d8;lYaee1PPpMGJVd9aoYyhfzFXxah77KmJfYCs41oakiR4DeZDku4xAn6ts/mIOQnZTL798L1Zkc1HaoPt7CEjUA==;16/06/2023 1:43;OT-LAP2117417;15/06/2023 22:43;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34182038;YO HELADERIA;DR PELAGIO BALTAZAR LUNA 109;LA RIOJA;5300;DR PELAGIO BALTAZAR LUNA 109;LA RIOJA;-29,41139;-66,84963;VE_390_PP101_P250;Ciudad
598bb6df-e60b-ee11-8f6e-0022483839d8;vP8iHslZ5d+5/jmS+Ng08Lhadm2D1Gqo3c0vhKAnVrZNFXvpIiOb+gn07NEp1x9anEV67baSnPekjGmy7ZmyyQ==;16/06/2023 1:41;OT-LAP2117409;15/06/2023 22:41;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34174747;ZAPATILLERIA AARON;CHILECITO 121;LA RIOJA;5300;CHILECITO 121;LA RIOJA;;;VE_390_PP101_P250;Ciudad
d700889d-e60b-ee11-8f6e-0022483839d8;QxaAjR66zfsF+gH+JSkuMtN6j1RgGP745r6+IKwZfxWKgTeiLotGHx9V2PpwwqUitjLS5xBTcnemziGSG4r2eA==;16/06/2023 1:39;OT-LAP2117399;15/06/2023 22:39;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34172307;BIO DIGESTORES SALTA;CATAMARCA 53 0;SALTA;4400;CATAMARCA 53 0;SALTA;-24,79690;-65,40615;VE_390_PP101_P250;Ciudad
b5a01d48-e60b-ee11-8f6e-0022483839d8;VbFcfCAcbbdQVKXTxk9OOKbvUJGWZptcJn/oGqDOH3U7S26grbYs1MIXHOSyPpZq5b08PeY3TyWAhX9Q9D3vrg==;16/06/2023 1:37;OT-LAP2117386;15/06/2023 22:36;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34166347;MAX COMESTIBLES;ALTO COMEDERO MANZ 8 LOTE 5 0;SAN SALVADOR DE JUJUY;4600;ALTO COMEDERO MANZ 8 LOTE 5 0;JUJUY;;;VE_390_PP101_P250;Ciudad
1c9bd923-e60b-ee11-8f6e-0022483839d8;jozgm1S+k9KDNx26AkkTIs9obOaKE8dIxJwy/ynWAGes6YgJ+qJPxIVqIFVaG85f9cTJJ7TAvQ7FwshyLA8t+A==;16/06/2023 1:36;OT-LAP2117381;15/06/2023 22:36;;Recupero por inactividad;No;Lapos OT - Masivo Extra Rural v2;No;34165230;PINTURERIA DIRI;TUCUMAN 228;MONTEROS;4142;TUCUMAN 228;TUCUMAN;-27,16469;-65,49463;VE_390_PP101_P250;Extra Rural
e7663e67-e50b-ee11-8f6e-0022483839d8;pNiAEnitQQHS6RIZZMKoM9xv63h+KwoyL2ocwAdMC2vAXJ0Fmrq3EiXB0YBg0hqO0EFmMVkcCfTkLCKsKrnxKw==;16/06/2023 1:31;OT-LAP2117351;15/06/2023 22:30;;Recupero por inactividad;No;Lapos OT - Masivo Extra Rural v2;No;34154577;Vicky Pintureria;Los Inmigrantes 108 1;RECREO;5260;Los Inmigrantes 108 1;CATAMARCA;;;VE_390_PP101_P250;Extra Rural
2bbc39fb-e40b-ee11-8f6e-0022483839d8;kJuUKVi+Q4QfaT4YuN0jEBM4eYr4ARPlzQemd57u5DN1qJKOBAxDi04sr7Omwype6lPhSP67/8VdQhxZRgq5Pw==;16/06/2023 1:27;OT-LAP2117340;15/06/2023 22:27;;Recupero por inactividad;No;Lapos OT - Masivo Urbano v2;No;34149947;OCTAVIANO;PRINGLES 1650 0;OJO DE AGUA (PARADA);4107;PRINGLES 1650 0;TUCUMAN;;;VE_390_PP101_P250;Urbano
2ec630b3-e40b-ee11-8f6e-0022483839d8;eUNaooN9P2DRk9N6ZWICRjBP3z9k+WVCExaSoUWLv7FzSPyhV0c5t65RUZlOoIaMTRFkpUs443BSaUGly7PrwA==;16/06/2023 1:26;OT-LAP2117331;15/06/2023 22:25;;Recupero por inactividad;No;Lapos OT - Masivo Rural v2;No;34145655;CONS.ODONT. LELIAN REYNA;ALBERTO GREGORIO CAVERO 390;CHILECITO;5360;ALBERTO GREGORIO CAVERO 390;LA RIOJA;;;VE_390_PP101_P250;Rural
ffa838a7-e40b-ee11-8f6e-0022483839d8;TY7QquXgu2NRydRhoJ+zEnSaVF3bYmn5LUuwAr4+2yhfIwD5cimm+AX5KwI6eIi9ljihQ38v8fdVp1+eNPKbJA==;16/06/2023 1:25;OT-LAP2117330;15/06/2023 22:25;;Recupero por inactividad;No;Lapos OT - Masivo Urbano v2;No;34144240;MARTINA POLIRUBRO;BO. PORTAL DEL CERRO MZ C LOTE 2;YERBA BUENA (DPTO. TAFI);4107;BO. PORTAL DEL CERRO MZ C LOTE 2;TUCUMAN;-26,81044;-65,26361;VE_VX690_WIFI_3G;Urbano
743be53c-e40b-ee11-8f6e-0022483839d8;y9fEeVWsR6XYyzom0KmCJB0XgFZ0lE7RdY79r14ekn/Cjipq1aTcY475A7G7xl9qjJCdnYawr4xaUYb7xLV6WA==;16/06/2023 1:22;OT-LAP2117320;15/06/2023 22:22;;Recupero por inactividad;No;Lapos OT - Masivo Rural v2;No;34135116;MINIMERCADITO CHICHI;AVDA. MARIANO MORENO Y VIRGILIO DE BRITOS;AGUARAY;4566;AVDA. MARIANO MORENO Y VIRGILIO DE BRITOS;SALTA;-22,23983;-63,73843;VE_390_PP101_P250;Rural
1fa7f69a-e30b-ee11-8f6e-0022483839d8;zzEmZzhBwC3oDFuOrAfA+mBqsywuHNeMPrOUPwd1W2mDzMLiL16MXLb/RUaXPXrrgoIE+Yhk9PLiJql5HokS4A==;16/06/2023 1:18;OT-LAP2117301;15/06/2023 22:17;;Recupero por inactividad;No;Lapos OT - Masivo Urbano v2;No;34122784;CLUB CAN;AV PTE PERON 1491 OPEN PLAZA LOC 19;YERBA BUENA (DPTO. TAFI);4107;AV PTE PERON 1491 OPEN PLAZA LOC 19;TUCUMAN;;;VE_390_PP101_P250;Urbano
f6e46241-e30b-ee11-8f6e-0022483839d8;OzqbaeGdRmkcVRCdNg68gxTJeaUevxqAzhYzpTURT7FWxDh5tgavv+ksrL/xFiPoVsFON2jDdAygcWWNiQMqmA==;16/06/2023 1:15;OT-LAP2117290;15/06/2023 22:15;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34116393;LA YUNGA;AV KIRCHNER 3450 L:230;SAN MIGUEL DE TUCUMAN;4000;AV KIRCHNER 3450 L:230;TUCUMAN;-26,83441;-65,25267;VE_390_PP101_P250;Ciudad
6deacb4a-e20b-ee11-8f6e-0022483839d8;GSqqmCKHxyOI494h+zKD0R8JTPqhRpcLUc6OulYYorp4BvndEZEgk75zsnuXCxUUhJKRMKJcQDuz38IRUVwWBQ==;16/06/2023 1:08;OT-LAP2117260;15/06/2023 22:08;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34099168;VERDULERIA LA INFANCIA;COMBATE DE SAN LORENZO 888;SAN MIGUEL DE TUCUMAN;4000;COMBATE DE SAN LORENZO 888;TUCUMAN;;;VE_390_PP101_P250;Ciudad
9c08f90c-e00b-ee11-8f6e-0022483839d8;PR0cU/Sj2qjmW6/43k5oXzkGu+XVln6KjmKrfytnHh5urgE83YsBi5n35xrvye8e5Kzx4NNfg+N8+IHJpP0AJA==;16/06/2023 0:52;OT-LAP2117184;15/06/2023 21:52;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;34027223;ERNESTINA RESTO BAR;REP DE GUATEMALA 97;TUCUMAN;4000;REP DE GUATEMALA 97;TUCUMAN;-26,82706;-65,19482;VE_390_PP101_P250;Ciudad
055e1345-df0b-ee11-8f6e-0022483839d8;Etc90rbQmrlJafkOOydsiuK2zn3SDKr03LpXgOXHVFO7gR0JLnMhr9480OFnF9Ju8cFFNsP/sVOFPWk9NSqsdQ==;16/06/2023 0:47;OT-LAP2117154;15/06/2023 21:46;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;32530371;YOLANDA;Bº CENTRO - AV. RIVADAVIA 74;LA RIOJA;5300;Bº CENTRO - AV. RIVADAVIA 74;LA RIOJA;-29,41392;-66,84876;VE_390_PP101_P250;Ciudad
a15bd8e4-dc0b-ee11-8f6e-0022483839d8;L3NMmvPn6K0O6zYd4NLmPhGj2Q2aocb27tdKfJJIgta5fRS/bjX5KxTKpoSnLMX676m/rci74V2AXUjf18Olig==;16/06/2023 0:30;OT-LAP2117067;15/06/2023 21:29;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;18121034;LA CASA DEL VENTILADOR;CATAMARCA 221 0 .;SAN MIGUEL DE TUCUMAN;4000;CATAMARCA 221 0 .;TUCUMAN;;;;Ciudad
3055dcd2-dc0b-ee11-8f6e-0022483839d8;ylpctRAm6yqA+LbkyU3AigMC+VQOvks8FkWs8IaTQB6IfAErZ9XXE7Rl5TdW9xx26K7JuEM9Oy/aT91pp3/aSA==;16/06/2023 0:29;OT-LAP2117064;15/06/2023 21:29;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;18120719;SAN NICOLAS;BARRIO LIBERTAD MZ 389 A LOTE 1 .;SALTA;4400;BARRIO LIBERTAD MZ 389 A LOTE 1 .;SALTA;-24,71555;-65,39999;;Ciudad
147aea8c-dc0b-ee11-8f6e-0022483839d8;Ani2hlVAE7d1QJVRPwQD88f4LPV3QbCacDRX7+0JioQrNALfGJp3OtpMKaEjAaUw++Y7Tg1bb6/MYVyDAYybQA==;17/06/2023 13:23;OT-LAP2117056;15/06/2023 21:27;;Recupero por inactividad;No;Lapos OT - Masivo Ciudad v2;No;18117778;MEDIALUNAS CALENTITAS;AVDA MNOR TAVELLA 1 0 LOC 820 0;SALTA;4400;AVDA MNOR TAVELLA 1 0 LOC 820 0;SALTA;;;PAX_S920;Ciudad
